Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-dawpod28 because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
yloo3
lucylou

Training file_len = 3234143

-----------
|  TRAIN  |
-----------

[0m 1s (169 16%) 3.6461 (3.2044)]
[0m 1s (170 17%) 3.6398 (2.5868)]
[0m 1s (170 17%) 3.6398 (2.5868)]
[0m 1s (172 17%) 3.6373 (3.2124)]
[0m 1s (174 17%) 3.6359 (3.1953)]
[0m 1s (175 17%) 3.6272 (2.1189)]
[0m 1s (177 17%) 3.6258 (3.3151)]
[0m 1s (178 17%) 3.6228 (3.0806)]
[0m 1s (179 17%) 3.6208 (3.2691)]
[0m 1s (180 18%) 3.6209 (3.6510)]
[0m 1s (181 18%) 3.6187 (3.2224)]
[0m 1s (182 18%) 3.6168 (3.2701)]
[0m 1s (184 18%) 3.6133 (2.6569)]
[0m 2s (190 19%) 3.6278 (5.0111)]
[0m 2s (200 20%) 3.6143 (3.2931)]
[0m 2s (210 21%) 3.6211 (3.1987)]
[0m 2s (218 21%) 3.6131 (2.9606)]
[0m 2s (219 21%) 3.6130 (3.5775)]
[0m 2s (220 22%) 3.6097 (2.8978)]
[0m 2s (220 22%) 3.6097 (2.8978)]
[0m 2s (221 22%) 3.6075 (3.1114)]
[0m 2s (222 22%) 3.6072 (3.5551)]
[0m 2s (223 22%) 3.6032 (2.7092)]
[0m 2s (224 22%) 3.6000 (2.8885)]
[0m 2s (225 22%) 3.5963 (2.7612)]
[0m 2s (226 22%) 3.5958 (3.4868)]
[0m 2s (228 22%) 3.5934 (2.8458)]
[0m 2s (230 23%) 3.5993 (3.8045)]
[0m 2s (240 24%) 3.5933 (3.2951)]
[0m 2s (240 24%) 3.5933 (3.2951)]
[0m 2s (250 25%) 3.5932 (3.4188)]
[0m 2s (250 25%) 3.5932 (3.4188)]
[0m 2s (252 25%) 3.5921 (3.2765)]
[0m 2s (256 25%) 3.5914 (3.3303)]
[0m 2s (257 25%) 3.5890 (2.9775)]
[0m 2s (258 25%) 3.5866 (2.9711)]
[0m 2s (259 25%) 3.5827 (2.5910)]
[0m 2s (260 26%) 3.5782 (2.3979)]
[0m 2s (260 26%) 3.5782 (2.3979)]
[0m 2s (261 26%) 3.5749 (2.7359)]
[0m 2s (262 26%) 3.5734 (3.1602)]
[0m 2s (264 26%) 3.5724 (3.0379)]
[0m 2s (270 27%) 3.5753 (3.2923)]
[0m 2s (272 27%) 3.5723 (3.2237)]
[0m 2s (273 27%) 3.5712 (3.2763)]
[0m 2s (275 27%) 3.5702 (3.3043)]
[0m 2s (276 27%) 3.5692 (3.2890)]
[0m 2s (277 27%) 3.5679 (3.2125)]
[0m 2s (278 27%) 3.5669 (3.2936)]
[0m 2s (279 27%) 3.5661 (3.3403)]
[0m 2s (280 28%) 3.5647 (3.1602)]
[0m 2s (280 28%) 3.5647 (3.1602)]
[0m 2s (283 28%) 3.5637 (3.0136)]
[0m 2s (284 28%) 3.5610 (2.8014)]
[0m 2s (285 28%) 3.5597 (3.1921)]
[0m 2s (286 28%) 3.5577 (2.9832)]
[0m 2s (289 28%) 3.5570 (3.1978)]
[0m 2s (290 28%) 3.5547 (2.8887)]
[0m 2s (290 28%) 3.5547 (2.8887)]
[0m 3s (291 29%) 3.5541 (3.3956)]
[0m 3s (292 29%) 3.5524 (3.0599)]
[0m 3s (300 30%) 3.5533 (3.5121)]
[0m 3s (304 30%) 3.5519 (3.2605)]
[0m 3s (306 30%) 3.5492 (2.7012)]
[0m 3s (307 30%) 3.5479 (3.1602)]
[0m 3s (308 30%) 3.5466 (3.1546)]
[0m 3s (309 30%) 3.5462 (3.4267)]
[0m 3s (310 31%) 3.5424 (2.3503)]
[0m 3s (310 31%) 3.5424 (2.3503)]
[0m 3s (312 31%) 3.5421 (3.4493)]
[0m 3s (313 31%) 3.5384 (2.3765)]
[0m 3s (314 31%) 3.5374 (3.2224)]
[0m 3s (315 31%) 3.5357 (3.0154)]
[0m 3s (316 31%) 3.5342 (3.0486)]
[0m 3s (317 31%) 3.5337 (3.3767)]
[0m 3s (320 32%) 3.5350 (3.3819)]
[0m 3s (330 33%) 3.5404 (3.2372)]
[0m 3s (335 33%) 3.5334 (2.7998)]
[0m 3s (336 33%) 3.5320 (3.0502)]
[0m 3s (337 33%) 3.5316 (3.3994)]
[0m 3s (339 33%) 3.5299 (2.6732)]
[0m 3s (340 34%) 3.5291 (3.2912)]
[0m 3s (340 34%) 3.5291 (3.2912)]
[0m 3s (341 34%) 3.5286 (3.3428)]
[0m 3s (342 34%) 3.5280 (3.3278)]
[0m 3s (345 34%) 3.5278 (3.4045)]
[0m 3s (346 34%) 3.5277 (3.4670)]
[0m 3s (347 34%) 3.5270 (3.3039)]
[0m 3s (348 34%) 3.5263 (3.2769)]
[0m 3s (350 35%) 3.5258 (3.1852)]
[0m 3s (350 35%) 3.5258 (3.1852)]
[0m 3s (351 35%) 3.5233 (2.6529)]
[0m 3s (352 35%) 3.5209 (2.6829)]
[0m 3s (354 35%) 3.5206 (2.9093)]
[0m 3s (355 35%) 3.5204 (3.4467)]
[0m 3s (357 35%) 3.5189 (2.9783)]
[0m 3s (358 35%) 3.5172 (2.9184)]
[0m 3s (359 35%) 3.5161 (3.1160)]
[0m 3s (360 36%) 3.5155 (3.3077)]
[0m 3s (360 36%) 3.5155 (3.3077)]
[0m 3s (362 36%) 3.5144 (3.0582)]
[0m 3s (363 36%) 3.5124 (2.7809)]
[0m 3s (364 36%) 3.5114 (3.1368)]
[0m 3s (365 36%) 3.5102 (3.0753)]
[0m 3s (367 36%) 3.5090 (3.0727)]
[0m 3s (368 36%) 3.5088 (3.4336)]
[0m 3s (369 36%) 3.5087 (3.4419)]
[0m 3s (370 37%) 3.5081 (3.3193)]
[0m 3s (370 37%) 3.5081 (3.3193)]
[0m 3s (371 37%) 3.5072 (3.1472)]
[0m 3s (372 37%) 3.5067 (3.3266)]
[0m 3s (373 37%) 3.5058 (3.1628)]
[0m 3s (374 37%) 3.5041 (2.8667)]
[0m 3s (375 37%) 3.5016 (2.5785)]
[0m 3s (376 37%) 3.5004 (3.0503)]
[0m 3s (377 37%) 3.4997 (3.2538)]
[0m 3s (378 37%) 3.4995 (3.4028)]
[0m 3s (379 37%) 3.4977 (2.8072)]
[0m 3s (380 38%) 3.4953 (2.5954)]
[0m 3s (380 38%) 3.4953 (2.5954)]
[0m 3s (381 38%) 3.4939 (2.9647)]
[0m 3s (382 38%) 3.4921 (2.8122)]
[0m 3s (383 38%) 3.4915 (3.2643)]
[0m 3s (384 38%) 3.4910 (3.2943)]
[0m 3s (385 38%) 3.4901 (3.1486)]
[0m 3s (386 38%) 3.4877 (2.5753)]
[0m 3s (387 38%) 3.4870 (3.2088)]
[0m 3s (388 38%) 3.4859 (3.0523)]
