Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-h7lac9vx because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
ight
Become yo
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (109 36%) 3.1535 (2.7907)]
[0m 0s (110 36%) 3.1532 (3.1231)]
[0m 0s (111 37%) 3.1448 (2.2161)]
[0m 0s (111 37%) 3.1448 (2.2161)]
[0m 0s (112 37%) 3.1375 (2.3261)]
[0m 0s (113 37%) 3.1329 (2.6246)]
[0m 0s (114 38%) 3.1304 (2.8397)]
[0m 0s (114 38%) 3.1304 (2.8397)]
[0m 0s (115 38%) 3.1210 (2.0515)]
[0m 0s (116 38%) 3.1187 (2.8569)]
[0m 0s (117 39%) 3.1141 (2.5819)]
[0m 0s (117 39%) 3.1141 (2.5819)]
[0m 0s (119 39%) 3.1136 (3.0373)]
[0m 0s (120 40%) 3.1236 (4.3122)]
[0m 0s (122 40%) 3.1109 (1.9640)]
[0m 0s (123 41%) 3.1083 (2.7915)]
[0m 0s (123 41%) 3.1083 (2.7915)]
[0m 0s (124 41%) 3.1036 (2.5158)]
[0m 0s (126 42%) 3.1200 (4.3296)]
[0m 0s (129 43%) 3.1142 (2.5934)]
[0m 0s (132 44%) 3.1183 (3.0232)]
[0m 0s (135 45%) 3.1161 (2.8959)]
[0m 0s (138 46%) 3.1029 (2.2726)]
[0m 0s (138 46%) 3.1029 (2.2726)]
[0m 0s (139 46%) 3.0986 (2.5013)]
[0m 0s (141 47%) 3.1043 (3.7444)]
[0m 0s (143 47%) 3.0954 (2.4800)]
[0m 0s (144 48%) 3.0920 (2.5962)]
[0m 0s (144 48%) 3.0920 (2.5962)]
[0m 0s (146 48%) 3.0879 (2.4835)]
[0m 0s (147 49%) 3.0803 (1.9731)]
[0m 0s (147 49%) 3.0803 (1.9731)]
[0m 0s (150 50%) 3.0763 (2.4048)]
[0m 0s (150 50%) 3.0763 (2.4048)]
[0m 0s (151 50%) 3.0733 (2.6186)]
[0m 0s (152 50%) 3.0725 (2.9474)]
[0m 0s (153 51%) 3.0691 (2.5602)]
[0m 0s (153 51%) 3.0691 (2.5602)]
[0m 0s (155 51%) 3.0681 (2.7860)]
[0m 0s (156 52%) 3.0696 (3.3056)]
[0m 0s (159 53%) 3.0672 (2.4598)]
[0m 0s (159 53%) 3.0672 (2.4598)]
[0m 0s (160 53%) 3.0669 (3.0214)]
[0m 0s (161 53%) 3.0620 (2.2854)]
[0m 0s (162 54%) 3.0587 (2.5176)]
[0m 0s (162 54%) 3.0587 (2.5176)]
[0m 0s (163 54%) 3.0580 (2.9419)]
[0m 0s (165 55%) 3.0593 (3.2199)]
[0m 0s (166 55%) 3.0563 (2.5547)]
[0m 0s (167 55%) 3.0561 (3.0356)]
[0m 0s (168 56%) 3.0543 (2.7401)]
[0m 0s (168 56%) 3.0543 (2.7401)]
[0m 0s (171 56%) 3.0565 (2.7756)]
[0m 0s (172 57%) 3.0521 (2.3004)]
[0m 0s (174 57%) 3.0502 (2.6774)]
[0m 0s (174 57%) 3.0502 (2.6774)]
[0m 0s (177 59%) 3.0460 (2.2940)]
[0m 0s (177 59%) 3.0460 (2.2940)]
[0m 0s (178 59%) 3.0445 (2.7924)]
[0m 0s (179 59%) 3.0418 (2.5478)]
[0m 0s (180 60%) 3.0419 (3.0651)]
[0m 0s (181 60%) 3.0375 (2.2480)]
[0m 0s (182 60%) 3.0323 (2.0967)]
[0m 0s (183 61%) 3.0301 (2.6197)]
[0m 0s (183 61%) 3.0301 (2.6197)]
[0m 0s (184 61%) 3.0252 (2.1249)]
[0m 0s (185 61%) 3.0199 (2.0497)]
[0m 0s (186 62%) 3.0147 (2.0604)]
