Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p2i45w2y because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
y contraries
E
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 16s (356 44%) 3.8266 (3.4942)]
[0m 16s (357 44%) 3.8250 (3.2449)]
[0m 16s (358 44%) 3.8233 (3.2276)]
[0m 16s (359 44%) 3.8221 (3.3875)]
[0m 16s (360 45%) 3.8222 (3.8625)]
[0m 16s (361 45%) 3.8202 (3.0988)]
[0m 16s (362 45%) 3.8197 (3.6482)]
[0m 16s (363 45%) 3.8187 (3.4363)]
[0m 16s (368 46%) 3.8209 (3.9597)]
[0m 17s (376 47%) 3.8201 (3.8088)]
[0m 17s (377 47%) 3.8181 (3.0822)]
[0m 17s (384 48%) 3.8231 (3.3238)]
[0m 17s (392 49%) 3.8316 (7.5737)]
[0m 18s (400 50%) 3.8228 (3.5789)]
[0m 18s (407 50%) 3.8180 (3.3825)]
[0m 18s (408 51%) 3.8181 (3.8408)]
[0m 18s (409 51%) 3.8170 (3.3799)]
[0m 18s (410 51%) 3.8144 (2.7650)]
[0m 18s (411 51%) 3.8125 (3.0175)]
[0m 18s (416 52%) 3.8130 (3.9010)]
[0m 19s (421 52%) 3.8111 (2.9034)]
[0m 19s (422 52%) 3.8107 (3.6397)]
[0m 19s (424 53%) 3.8114 (3.2595)]
[0m 19s (425 53%) 3.8097 (3.0948)]
[0m 19s (426 53%) 3.8096 (3.7974)]
[0m 19s (427 53%) 3.8079 (3.0765)]
[0m 19s (428 53%) 3.8072 (3.4989)]
[0m 19s (430 53%) 3.8070 (3.0437)]
[0m 19s (431 53%) 3.8067 (3.6692)]
[0m 19s (432 54%) 3.8047 (2.9607)]
[0m 19s (432 54%) 3.8047 (2.9607)]
[0m 19s (436 54%) 3.8037 (3.2383)]
[0m 19s (437 54%) 3.8019 (3.0093)]
[0m 19s (439 54%) 3.8016 (2.9263)]
[0m 19s (440 55%) 3.8024 (4.1832)]
[0m 20s (443 55%) 3.8007 (3.2809)]
[0m 20s (445 55%) 3.7997 (3.2267)]
[0m 20s (446 55%) 3.7985 (3.2653)]
[0m 20s (447 55%) 3.7969 (3.1037)]
[0m 20s (448 56%) 3.7954 (3.1088)]
[0m 20s (448 56%) 3.7954 (3.1088)]
[0m 20s (449 56%) 3.7943 (3.3035)]
[0m 20s (450 56%) 3.7939 (3.6240)]
[0m 20s (451 56%) 3.7934 (3.5797)]
[0m 20s (455 56%) 3.7930 (3.2844)]
[0m 20s (456 56%) 3.7917 (3.2210)]
[0m 20s (456 56%) 3.7917 (3.2210)]
[0m 20s (457 57%) 3.7905 (3.2259)]
[0m 20s (458 57%) 3.7879 (2.6146)]
[0m 20s (459 57%) 3.7848 (2.3527)]
[0m 20s (460 57%) 3.7843 (3.5497)]
[0m 20s (461 57%) 3.7820 (2.7241)]
[0m 20s (462 57%) 3.7799 (2.8479)]
[0m 21s (464 57%) 3.7787 (3.0585)]
[0m 21s (464 57%) 3.7787 (3.0585)]
[0m 21s (468 58%) 3.7785 (2.7869)]
[0m 21s (469 58%) 3.7778 (3.4536)]
[0m 21s (470 58%) 3.7777 (3.7479)]
[0m 21s (471 58%) 3.7768 (3.3274)]
[0m 21s (472 59%) 3.7778 (4.2423)]
[0m 21s (478 59%) 3.7763 (3.4599)]
[0m 21s (480 60%) 3.7769 (3.6997)]
[0m 21s (484 60%) 3.7756 (2.9487)]
[0m 21s (485 60%) 3.7746 (3.2842)]
[0m 21s (486 60%) 3.7744 (3.7221)]
[0m 22s (488 61%) 3.7744 (3.3538)]
[0m 22s (488 61%) 3.7744 (3.3538)]
[0m 22s (489 61%) 3.7736 (3.3747)]
[0m 22s (490 61%) 3.7723 (3.1457)]
[0m 22s (491 61%) 3.7709 (3.0724)]
[0m 22s (492 61%) 3.7695 (3.0918)]
[0m 22s (493 61%) 3.7672 (2.6285)]
[0m 22s (494 61%) 3.7664 (3.3843)]
[0m 22s (495 61%) 3.7663 (3.7163)]
