Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-35x9f4at because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
e thee.

CLAUD
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 1s (152 25%) 3.4246 (3.1973)]
[0m 1s (153 25%) 3.4219 (3.0110)]
[0m 1s (155 25%) 3.4216 (2.8851)]
[0m 1s (156 26%) 3.4187 (2.9654)]
[0m 1s (156 26%) 3.4187 (2.9654)]
[0m 1s (157 26%) 3.4153 (2.8782)]
[0m 1s (158 26%) 3.4088 (2.3953)]
[0m 1s (161 26%) 3.4084 (2.8340)]
[0m 1s (162 27%) 3.4121 (4.0080)]
[0m 1s (163 27%) 3.4079 (2.7274)]
[0m 1s (164 27%) 3.4026 (2.5416)]
[0m 1s (165 27%) 3.4016 (3.2357)]
[0m 1s (166 27%) 3.4006 (3.2275)]
[0m 1s (167 27%) 3.3973 (2.8457)]
[0m 1s (168 28%) 3.4001 (3.8700)]
[0m 1s (174 28%) 3.4020 (3.3114)]
[0m 1s (177 29%) 3.3963 (2.7011)]
[0m 1s (179 29%) 3.3933 (2.8500)]
[0m 1s (180 30%) 3.3964 (3.9385)]
[0m 1s (181 30%) 3.3932 (2.8157)]
[0m 1s (182 30%) 3.3895 (2.7309)]
[0m 1s (186 31%) 3.3981 (3.1168)]
[0m 1s (191 31%) 3.3869 (2.6774)]
[0m 2s (192 32%) 3.3823 (2.4938)]
[0m 2s (192 32%) 3.3823 (2.4938)]
[0m 2s (197 32%) 3.3814 (3.1004)]
[0m 2s (198 33%) 3.3810 (3.2929)]
[0m 2s (198 33%) 3.3810 (3.2929)]
[0m 2s (199 33%) 3.3761 (2.4114)]
[0m 2s (200 33%) 3.3734 (2.8220)]
[0m 2s (201 33%) 3.3709 (2.8764)]
[0m 2s (202 33%) 3.3659 (2.3703)]
[0m 2s (203 33%) 3.3614 (2.4394)]
[0m 2s (204 34%) 3.3570 (2.4732)]
[0m 2s (204 34%) 3.3570 (2.4732)]
[0m 2s (205 34%) 3.3520 (2.3310)]
[0m 2s (206 34%) 3.3496 (2.8473)]
[0m 2s (207 34%) 3.3455 (2.5194)]
[0m 2s (208 34%) 3.3417 (2.5363)]
[0m 2s (209 34%) 3.3413 (3.2675)]
[0m 2s (210 35%) 3.3400 (3.0702)]
[0m 2s (210 35%) 3.3400 (3.0702)]
[0m 2s (211 35%) 3.3347 (2.2260)]
[0m 2s (212 35%) 3.3318 (2.7134)]
[0m 2s (213 35%) 3.3302 (2.9962)]
[0m 2s (215 35%) 3.3292 (2.5080)]
[0m 2s (216 36%) 3.3287 (3.2168)]
[0m 2s (216 36%) 3.3287 (3.2168)]
[0m 2s (217 36%) 3.3257 (2.6763)]
[0m 2s (218 36%) 3.3233 (2.7998)]
[0m 2s (219 36%) 3.3203 (2.6694)]
[0m 2s (220 36%) 3.3160 (2.3755)]
[0m 2s (221 36%) 3.3140 (2.8696)]
[0m 2s (222 37%) 3.3161 (3.7882)]
[0m 2s (225 37%) 3.3126 (2.8974)]
[0m 2s (226 37%) 3.3091 (2.5037)]
[0m 2s (227 37%) 3.3090 (3.2949)]
[0m 2s (228 38%) 3.3065 (2.7392)]
[0m 2s (228 38%) 3.3065 (2.7392)]
[0m 2s (229 38%) 3.3065 (3.3012)]
[0m 2s (230 38%) 3.3046 (2.8770)]
[0m 2s (231 38%) 3.3006 (2.3704)]
[0m 2s (232 38%) 3.2980 (2.7103)]
[0m 2s (234 39%) 3.2954 (2.6012)]
[0m 2s (234 39%) 3.2954 (2.6012)]
[0m 2s (235 39%) 3.2927 (2.6605)]
[0m 2s (236 39%) 3.2910 (2.9071)]
[0m 2s (237 39%) 3.2887 (2.7286)]
[0m 2s (238 39%) 3.2882 (3.1707)]
[0m 2s (239 39%) 3.2871 (3.0328)]
[0m 2s (240 40%) 3.2841 (2.5767)]
[0m 2s (240 40%) 3.2841 (2.5767)]
[0m 2s (241 40%) 3.2829 (2.9943)]
[0m 2s (242 40%) 3.2818 (3.0163)]
[0m 2s (243 40%) 3.2764 (1.9595)]
[0m 2s (245 40%) 3.2747 (2.7342)]
[0m 2s (246 41%) 3.2752 (3.3926)]
[0m 2s (247 41%) 3.2741 (3.0146)]
[0m 2s (248 41%) 3.2722 (2.7999)]
[0m 2s (249 41%) 3.2678 (2.1850)]
[0m 2s (250 41%) 3.2674 (3.1688)]
[0m 2s (251 41%) 3.2668 (3.1151)]
[0m 2s (252 42%) 3.2689 (3.7950)]
[0m 2s (253 42%) 3.2663 (2.6140)]
[0m 2s (254 42%) 3.2654 (3.0386)]
[0m 2s (255 42%) 3.2633 (2.7238)]
[0m 2s (256 42%) 3.2625 (3.0610)]
[0m 2s (257 42%) 3.2615 (2.9924)]
[0m 2s (258 43%) 3.2572 (2.1604)]
[0m 2s (258 43%) 3.2572 (2.1604)]
[0m 2s (260 43%) 3.2545 (2.4233)]
[0m 2s (261 43%) 3.2523 (2.6651)]
[0m 2s (262 43%) 3.2507 (2.8406)]
[0m 2s (263 43%) 3.2494 (2.8993)]
[0m 2s (264 44%) 3.2486 (3.0330)]
[0m 2s (264 44%) 3.2486 (3.0330)]
[0m 2s (265 44%) 3.2460 (2.5840)]
[0m 2s (266 44%) 3.2449 (2.9359)]
[0m 2s (267 44%) 3.2427 (2.6662)]
[0m 2s (268 44%) 3.2423 (3.1385)]
[0m 2s (269 44%) 3.2398 (2.5722)]
[0m 2s (270 45%) 3.2382 (2.7901)]
[0m 2s (270 45%) 3.2382 (2.7901)]
[0m 2s (271 45%) 3.2364 (2.7653)]
[0m 2s (273 45%) 3.2355 (2.8779)]
[0m 2s (274 45%) 3.2325 (2.4308)]
[0m 2s (275 45%) 3.2322 (3.1322)]
[0m 2s (276 46%) 3.2317 (3.0970)]
[0m 2s (276 46%) 3.2317 (3.0970)]
[0m 2s (277 46%) 3.2303 (2.8604)]
[0m 2s (278 46%) 3.2279 (2.5454)]
