Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-askujl9r because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
mortal blessin
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 2s (204 34%) 3.4723 (2.5474)]
[0m 2s (206 34%) 3.4703 (2.8566)]
[0m 2s (207 34%) 3.4680 (2.9908)]
[0m 2s (208 34%) 3.4659 (3.0142)]
[0m 2s (209 34%) 3.4643 (3.1414)]
[0m 2s (210 35%) 3.4605 (2.6627)]
[0m 2s (210 35%) 3.4605 (2.6627)]
[0m 2s (211 35%) 3.4586 (3.0611)]
[0m 2s (212 35%) 3.4555 (2.8013)]
[0m 2s (213 35%) 3.4539 (3.1081)]
[0m 2s (216 36%) 3.4647 (2.7624)]
[0m 2s (222 37%) 3.4642 (3.8137)]
[0m 2s (226 37%) 3.4538 (2.9929)]
[0m 2s (227 37%) 3.4529 (3.2662)]
[0m 2s (228 38%) 3.4517 (3.1620)]
[0m 2s (228 38%) 3.4517 (3.1620)]
[0m 2s (229 38%) 3.4507 (3.2265)]
[0m 2s (230 38%) 3.4494 (3.1521)]
[0m 2s (231 38%) 3.4466 (2.7986)]
[0m 2s (232 38%) 3.4447 (3.0140)]
[0m 2s (233 38%) 3.4416 (2.7308)]
[0m 2s (234 39%) 3.4400 (3.0613)]
[0m 2s (234 39%) 3.4400 (3.0613)]
[0m 2s (235 39%) 3.4376 (2.8762)]
[0m 2s (236 39%) 3.4352 (2.8667)]
[0m 2s (237 39%) 3.4311 (2.4779)]
[0m 2s (238 39%) 3.4292 (2.9664)]
[0m 2s (239 39%) 3.4262 (2.7028)]
[0m 2s (240 40%) 3.4249 (3.1170)]
[0m 2s (240 40%) 3.4249 (3.1170)]
[0m 2s (241 40%) 3.4237 (3.1385)]
[0m 2s (242 40%) 3.4236 (3.4045)]
[0m 2s (243 40%) 3.4212 (2.8406)]
[0m 2s (244 40%) 3.4198 (3.0865)]
[0m 2s (246 41%) 3.4214 (3.3084)]
[0m 2s (251 41%) 3.4187 (2.4026)]
[0m 2s (252 42%) 3.4172 (3.0380)]
[0m 2s (252 42%) 3.4172 (3.0380)]
[0m 2s (253 42%) 3.4169 (3.3335)]
[0m 2s (254 42%) 3.4147 (2.8523)]
[0m 2s (255 42%) 3.4103 (2.3025)]
[0m 2s (256 42%) 3.4088 (3.0210)]
[0m 2s (257 42%) 3.4075 (3.0702)]
[0m 3s (258 43%) 3.4044 (2.6077)]
[0m 3s (258 43%) 3.4044 (2.6077)]
[0m 3s (259 43%) 3.4026 (2.9495)]
[0m 3s (260 43%) 3.3994 (2.5693)]
[0m 3s (261 43%) 3.3958 (2.4526)]
[0m 3s (263 43%) 3.3934 (2.7343)]
[0m 3s (264 44%) 3.3917 (2.9234)]
[0m 3s (264 44%) 3.3917 (2.9234)]
[0m 3s (267 44%) 3.3872 (2.1712)]
[0m 3s (268 44%) 3.3867 (3.2469)]
[0m 3s (269 44%) 3.3849 (2.9217)]
[0m 3s (270 45%) 3.3835 (2.9842)]
[0m 3s (270 45%) 3.3835 (2.9842)]
[0m 3s (271 45%) 3.3829 (3.2253)]
[0m 3s (272 45%) 3.3827 (3.3345)]
[0m 3s (273 45%) 3.3818 (3.1247)]
[0m 3s (274 45%) 3.3795 (2.7637)]
[0m 3s (275 45%) 3.3769 (2.6584)]
[0m 3s (276 46%) 3.3764 (3.2473)]
[0m 3s (276 46%) 3.3764 (3.2473)]
[0m 3s (277 46%) 3.3758 (3.2219)]
[0m 3s (278 46%) 3.3739 (2.8234)]
[0m 3s (279 46%) 3.3704 (2.4190)]
[0m 3s (280 46%) 3.3687 (2.8758)]
[0m 3s (282 47%) 3.3681 (3.1598)]
[0m 3s (282 47%) 3.3681 (3.1598)]
[0m 3s (284 47%) 3.3660 (2.4694)]
[0m 3s (285 47%) 3.3655 (3.2027)]
[0m 3s (286 47%) 3.3635 (2.8115)]
[0m 3s (287 47%) 3.3606 (2.5132)]
[0m 3s (288 48%) 3.3576 (2.5118)]
[0m 3s (288 48%) 3.3576 (2.5118)]
[0m 3s (289 48%) 3.3574 (3.2866)]
[0m 3s (291 48%) 3.3566 (2.7764)]
[0m 3s (294 49%) 3.3591 (3.3005)]
[0m 3s (299 49%) 3.3563 (2.3390)]
[0m 3s (300 50%) 3.3585 (4.0106)]
[0m 3s (304 50%) 3.3563 (3.0543)]
[0m 3s (305 50%) 3.3554 (3.0661)]
[0m 3s (306 51%) 3.3531 (2.6485)]
[0m 3s (306 51%) 3.3531 (2.6485)]
[0m 3s (307 51%) 3.3528 (3.2820)]
[0m 3s (308 51%) 3.3516 (2.9627)]
[0m 3s (309 51%) 3.3502 (2.9364)]
[0m 3s (310 51%) 3.3490 (2.9686)]
[0m 3s (311 51%) 3.3470 (2.7196)]
[0m 3s (312 52%) 3.3452 (2.7841)]
[0m 3s (312 52%) 3.3452 (2.7841)]
[0m 3s (314 52%) 3.3429 (2.5795)]
[0m 3s (315 52%) 3.3411 (2.7759)]
[0m 3s (316 52%) 3.3409 (3.2738)]
[0m 3s (317 52%) 3.3405 (3.2171)]
[0m 3s (318 53%) 3.3397 (3.0896)]
[0m 3s (318 53%) 3.3397 (3.0896)]
[0m 3s (319 53%) 3.3395 (3.2682)]
[0m 3s (320 53%) 3.3384 (2.9963)]
[0m 3s (321 53%) 3.3358 (2.5012)]
[0m 3s (324 54%) 3.3346 (2.7399)]
[0m 3s (324 54%) 3.3346 (2.7399)]
[0m 3s (325 54%) 3.3344 (3.2841)]
[0m 3s (326 54%) 3.3330 (2.8785)]
[0m 3s (327 54%) 3.3323 (3.0869)]
[0m 3s (329 54%) 3.3323 (2.5423)]
[0m 3s (330 55%) 3.3308 (2.8672)]
[0m 3s (330 55%) 3.3308 (2.8672)]
[0m 3s (331 55%) 3.3280 (2.3878)]
[0m 3s (332 55%) 3.3252 (2.4063)]
[0m 3s (333 55%) 3.3232 (2.6412)]
[0m 3s (334 55%) 3.3215 (2.7613)]
[0m 3s (335 55%) 3.3199 (2.7751)]
[0m 3s (336 56%) 3.3208 (3.6333)]
[0m 3s (340 56%) 3.3183 (2.5536)]
[0m 3s (341 56%) 3.3172 (2.9402)]
[0m 3s (342 56%) 3.3191 (3.9601)]
[0m 3s (344 57%) 3.3145 (2.3246)]
[0m 3s (345 57%) 3.3131 (2.8160)]
[0m 3s (347 57%) 3.3119 (2.6603)]
[0m 3s (348 57%) 3.3100 (2.6581)]
[0m 3s (348 57%) 3.3100 (2.6581)]
[0m 3s (350 58%) 3.3099 (2.7376)]
[0m 3s (351 58%) 3.3073 (2.3844)]
[0m 3s (352 58%) 3.3069 (3.1787)]
[0m 3s (353 58%) 3.3069 (3.2861)]
[0m 3s (354 59%) 3.3057 (2.8875)]
[0m 3s (354 59%) 3.3057 (2.8875)]
[0m 3s (355 59%) 3.3033 (2.4698)]
[0m 4s (357 59%) 3.3012 (2.5146)]
[0m 4s (358 59%) 3.3008 (3.1391)]
[0m 4s (359 59%) 3.2989 (2.6307)]
[0m 4s (360 60%) 3.2967 (2.5114)]
[0m 4s (360 60%) 3.2967 (2.5114)]
[0m 4s (361 60%) 3.2947 (2.5511)]
[0m 4s (363 60%) 3.2916 (2.1848)]
[0m 4s (365 60%) 3.2911 (3.0246)]
[0m 4s (366 61%) 3.2908 (3.1500)]
[0m 4s (366 61%) 3.2908 (3.1500)]
[0m 4s (367 61%) 3.2904 (3.1679)]
[0m 4s (368 61%) 3.2896 (2.9701)]
[0m 4s (369 61%) 3.2887 (2.9741)]
[0m 4s (370 61%) 3.2879 (3.0082)]
[0m 4s (372 62%) 3.2882 (2.7438)]
[0m 4s (373 62%) 3.2873 (2.9601)]
[0m 4s (374 62%) 3.2847 (2.3183)]
[0m 4s (375 62%) 3.2832 (2.7369)]
[0m 4s (376 62%) 3.2818 (2.7225)]
[0m 4s (377 62%) 3.2796 (2.4497)]
[0m 4s (378 63%) 3.2806 (3.6763)]
[0m 4s (379 63%) 3.2795 (2.8552)]
[0m 4s (381 63%) 3.2776 (2.5092)]
[0m 4s (382 63%) 3.2767 (2.9262)]
[0m 4s (383 63%) 3.2762 (3.0695)]
[0m 4s (384 64%) 3.2790 (4.3716)]
[0m 4s (388 64%) 3.2760 (2.5513)]
[0m 4s (389 64%) 3.2743 (2.6138)]
[0m 4s (390 65%) 3.2731 (2.8152)]
[0m 4s (390 65%) 3.2731 (2.8152)]
[0m 4s (392 65%) 3.2731 (3.1948)]
[0m 4s (393 65%) 3.2715 (2.6322)]
[0m 4s (394 65%) 3.2707 (2.9830)]
[0m 4s (395 65%) 3.2696 (2.8168)]
[0m 4s (396 66%) 3.2680 (2.6421)]
[0m 4s (396 66%) 3.2680 (2.6421)]
[0m 4s (397 66%) 3.2660 (2.4736)]
[0m 4s (401 66%) 3.2656 (2.3847)]
