Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-bndzyxmz because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
p;
And thou no
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 11s (198 24%) 3.6747 (3.2870)]
[0m 11s (200 25%) 3.6724 (2.6828)]
[0m 11s (200 25%) 3.6724 (2.6828)]
[0m 11s (201 25%) 3.6720 (3.6051)]
[0m 11s (202 25%) 3.6717 (3.5943)]
[0m 12s (208 26%) 3.6825 (4.8515)]
[0m 12s (216 27%) 3.6742 (3.1818)]
[0m 12s (218 27%) 3.6685 (2.8214)]
[0m 12s (219 27%) 3.6672 (3.3907)]
[0m 12s (220 27%) 3.6628 (2.6987)]
[0m 13s (221 27%) 3.6586 (2.7269)]
[0m 13s (222 27%) 3.6569 (3.2921)]
[0m 13s (223 27%) 3.6544 (3.0786)]
[0m 13s (224 28%) 3.6528 (3.3019)]
[0m 13s (224 28%) 3.6528 (3.3019)]
[0m 13s (226 28%) 3.6522 (3.3709)]
[0m 13s (227 28%) 3.6492 (2.9670)]
[0m 13s (228 28%) 3.6443 (2.5309)]
[0m 13s (229 28%) 3.6404 (2.7415)]
[0m 13s (230 28%) 3.6381 (3.1291)]
[0m 13s (231 28%) 3.6357 (3.0722)]
[0m 13s (232 28%) 3.6393 (4.4630)]
[0m 14s (237 29%) 3.6354 (3.2690)]
[0m 14s (238 29%) 3.6329 (3.0382)]
[0m 14s (239 29%) 3.6323 (3.4987)]
[0m 14s (240 30%) 3.6289 (2.8104)]
[0m 14s (240 30%) 3.6289 (2.8104)]
[0m 14s (242 30%) 3.6262 (2.7817)]
[0m 14s (243 30%) 3.6249 (3.3255)]
[0m 14s (244 30%) 3.6243 (3.4728)]
[0m 14s (245 30%) 3.6228 (3.2614)]
[0m 14s (246 30%) 3.6217 (3.3366)]
[0m 14s (247 30%) 3.6209 (3.4230)]
[0m 14s (248 31%) 3.6170 (2.6557)]
[0m 14s (248 31%) 3.6170 (2.6557)]
[0m 14s (249 31%) 3.6142 (2.9199)]
[0m 14s (250 31%) 3.6131 (3.3529)]
[0m 15s (254 31%) 3.6128 (3.4461)]
[0m 15s (255 31%) 3.6102 (2.9291)]
[0m 15s (256 32%) 3.6111 (3.8501)]
[0m 15s (257 32%) 3.6077 (2.7490)]
[0m 15s (258 32%) 3.6074 (3.5331)]
[0m 15s (259 32%) 3.6057 (3.1492)]
[0m 15s (260 32%) 3.6019 (2.6192)]
[0m 15s (261 32%) 3.6003 (3.1836)]
[0m 15s (262 32%) 3.5988 (3.2189)]
[0m 15s (263 32%) 3.5971 (3.1556)]
[0m 15s (264 33%) 3.6004 (4.4578)]
[0m 15s (266 33%) 3.5971 (3.4468)]
[0m 16s (271 33%) 3.5956 (3.0100)]
[0m 16s (272 34%) 3.5973 (4.0570)]
[0m 16s (273 34%) 3.5947 (2.8920)]
[0m 16s (274 34%) 3.5941 (3.4423)]
[0m 16s (275 34%) 3.5926 (3.1707)]
[0m 16s (276 34%) 3.5913 (3.2431)]
[0m 16s (277 34%) 3.5886 (2.8265)]
[0m 16s (278 34%) 3.5874 (3.2675)]
[0m 16s (279 34%) 3.5853 (2.9920)]
[0m 16s (280 35%) 3.5842 (3.2760)]
[0m 16s (280 35%) 3.5842 (3.2760)]
[0m 16s (281 35%) 3.5842 (3.5798)]
[0m 16s (282 35%) 3.5828 (3.1862)]
[0m 16s (283 35%) 3.5826 (3.5353)]
[0m 17s (286 35%) 3.5823 (2.9395)]
[0m 17s (287 35%) 3.5805 (3.0661)]
[0m 17s (288 36%) 3.5792 (3.2065)]
[0m 17s (288 36%) 3.5792 (3.2065)]
[0m 17s (289 36%) 3.5785 (3.3727)]
[0m 17s (293 36%) 3.5784 (3.4751)]
[0m 17s (295 36%) 3.5777 (3.2559)]
[0m 17s (296 37%) 3.5758 (3.0275)]
[0m 17s (296 37%) 3.5758 (3.0275)]
[0m 18s (300 37%) 3.5755 (3.2348)]
[0m 18s (301 37%) 3.5746 (3.3138)]
[0m 18s (302 37%) 3.5735 (3.2184)]
[0m 18s (304 38%) 3.5775 (3.2280)]
[0m 18s (306 38%) 3.5734 (2.9665)]
[0m 18s (307 38%) 3.5713 (2.9284)]
[0m 18s (308 38%) 3.5688 (2.8160)]
[0m 18s (309 38%) 3.5663 (2.7954)]
[0m 18s (311 38%) 3.5649 (2.7128)]
[0m 18s (312 39%) 3.5640 (3.2807)]
[0m 18s (312 39%) 3.5640 (3.2807)]
[0m 19s (315 39%) 3.5632 (3.0919)]
[0m 19s (316 39%) 3.5608 (2.7948)]
[0m 19s (317 39%) 3.5589 (2.9548)]
[0m 19s (318 39%) 3.5577 (3.1969)]
[0m 19s (319 39%) 3.5568 (3.2773)]
[0m 19s (320 40%) 3.5571 (3.6383)]
[0m 19s (321 40%) 3.5564 (3.3228)]
[0m 19s (322 40%) 3.5528 (2.4250)]
[0m 19s (323 40%) 3.5506 (2.8207)]
[0m 19s (324 40%) 3.5483 (2.8191)]
[0m 19s (325 40%) 3.5476 (3.3244)]
[0m 19s (326 40%) 3.5472 (3.4200)]
[0m 19s (327 40%) 3.5456 (3.0132)]
[0m 19s (328 41%) 3.5454 (3.4822)]
[0m 19s (328 41%) 3.5454 (3.4822)]
[0m 20s (329 41%) 3.5430 (2.7477)]
[0m 20s (330 41%) 3.5424 (3.3437)]
[0m 20s (331 41%) 3.5397 (2.6592)]
[0m 20s (336 42%) 3.5376 (2.7540)]
[0m 20s (336 42%) 3.5376 (2.7540)]
[0m 20s (337 42%) 3.5365 (3.1727)]
[0m 20s (338 42%) 3.5346 (2.9021)]
[0m 20s (339 42%) 3.5333 (3.0866)]
[0m 20s (340 42%) 3.5315 (2.9287)]
[0m 20s (341 42%) 3.5308 (3.2769)]
[0m 20s (342 42%) 3.5285 (2.7669)]
[0m 20s (343 42%) 3.5271 (3.0289)]
[0m 21s (344 43%) 3.5258 (3.1039)]
[0m 21s (344 43%) 3.5258 (3.1039)]
[0m 21s (345 43%) 3.5223 (2.2981)]
[0m 21s (346 43%) 3.5203 (2.8325)]
[0m 21s (347 43%) 3.5199 (3.4015)]
[0m 21s (348 43%) 3.5191 (3.2245)]
[0m 21s (349 43%) 3.5187 (3.3709)]
[0m 21s (352 44%) 3.5214 (3.0727)]
[0m 21s (355 44%) 3.5186 (2.8985)]
[0m 21s (356 44%) 3.5162 (2.6791)]
[0m 21s (358 44%) 3.5153 (3.1110)]
[0m 22s (360 45%) 3.5145 (3.1748)]
[0m 22s (360 45%) 3.5145 (3.1748)]
[0m 22s (361 45%) 3.5123 (2.6961)]
[0m 22s (362 45%) 3.5114 (3.2103)]
[0m 22s (363 45%) 3.5100 (3.0108)]
[0m 22s (364 45%) 3.5080 (2.7507)]
[0m 22s (367 45%) 3.5074 (3.1652)]
[0m 22s (368 46%) 3.5086 (3.9182)]
[0m 22s (370 46%) 3.5059 (2.7638)]
[0m 22s (371 46%) 3.5040 (2.7859)]
[0m 22s (372 46%) 3.5024 (2.9353)]
[0m 23s (374 46%) 3.5024 (2.9639)]
[0m 23s (375 46%) 3.5017 (3.2454)]
[0m 23s (376 47%) 3.5009 (3.1866)]
[0m 23s (376 47%) 3.5009 (3.1866)]
[0m 23s (377 47%) 3.5002 (3.2463)]
[0m 23s (378 47%) 3.4979 (2.6382)]
[0m 23s (379 47%) 3.4973 (3.2786)]
[0m 23s (380 47%) 3.4965 (3.1882)]
[0m 23s (382 47%) 3.4961 (3.2667)]
[0m 23s (384 48%) 3.4944 (2.7694)]
[0m 23s (384 48%) 3.4944 (2.7694)]
[0m 23s (385 48%) 3.4921 (2.6191)]
[0m 24s (390 48%) 3.4920 (2.8785)]
[0m 24s (392 49%) 3.4928 (3.0167)]
[0m 24s (395 49%) 3.4914 (2.7094)]
[0m 24s (396 49%) 3.4906 (3.1651)]
[0m 24s (397 49%) 3.4896 (3.1014)]
[0m 24s (398 49%) 3.4888 (3.1522)]
[0m 24s (399 49%) 3.4881 (3.2395)]
[0m 24s (400 50%) 3.4892 (3.9340)]
[0m 25s (404 50%) 3.4878 (2.6349)]
[0m 25s (405 50%) 3.4858 (2.6896)]
[0m 25s (406 50%) 3.4852 (3.2256)]
[0m 25s (407 50%) 3.4833 (2.7431)]
[0m 25s (408 51%) 3.4829 (3.2908)]
[0m 25s (408 51%) 3.4829 (3.2908)]
[0m 25s (409 51%) 3.4818 (3.0319)]
[0m 25s (410 51%) 3.4806 (3.0003)]
[0m 25s (411 51%) 3.4797 (3.1008)]
[0m 25s (412 51%) 3.4779 (2.7743)]
[0m 25s (413 51%) 3.4778 (3.4107)]
[0m 25s (414 51%) 3.4767 (3.0444)]
[0m 25s (416 52%) 3.4760 (2.6661)]
[0m 25s (416 52%) 3.4760 (2.6661)]
[0m 26s (424 53%) 3.4797 (3.1422)]
[0m 26s (427 53%) 3.4755 (2.8413)]
[0m 26s (428 53%) 3.4752 (3.3237)]
[0m 26s (432 54%) 3.4749 (2.9719)]
[0m 26s (432 54%) 3.4749 (2.9719)]
[0m 26s (433 54%) 3.4738 (2.9873)]
[0m 27s (435 54%) 3.4735 (3.2859)]
[0m 27s (436 54%) 3.4733 (3.4082)]
[0m 27s (440 55%) 3.4731 (3.1162)]
[0m 27s (440 55%) 3.4731 (3.1162)]
[0m 27s (441 55%) 3.4716 (2.8130)]
[0m 27s (443 55%) 3.4712 (3.1657)]
[0m 27s (445 55%) 3.4709 (2.9704)]
[0m 27s (446 55%) 3.4698 (2.9917)]
[0m 27s (447 55%) 3.4684 (2.8179)]
[0m 27s (448 56%) 3.4708 (4.5612)]
[0m 28s (455 56%) 3.4676 (2.6449)]
[0m 28s (456 56%) 3.4659 (2.6906)]
[0m 28s (456 56%) 3.4659 (2.6906)]
[0m 28s (457 57%) 3.4654 (3.2417)]
[0m 28s (458 57%) 3.4641 (2.8611)]
[0m 28s (461 57%) 3.4633 (2.8546)]
[0m 28s (462 57%) 3.4625 (3.0908)]
[0m 28s (463 57%) 3.4604 (2.4794)]
[0m 29s (464 57%) 3.4615 (3.9983)]
[0m 29s (467 58%) 3.4599 (3.0577)]
[0m 29s (468 58%) 3.4592 (3.1531)]
[0m 29s (469 58%) 3.4582 (3.0076)]
[0m 29s (470 58%) 3.4575 (3.0904)]
[0m 29s (471 58%) 3.4559 (2.7416)]
[0m 29s (472 59%) 3.4547 (2.8860)]
[0m 29s (472 59%) 3.4547 (2.8860)]
[0m 29s (473 59%) 3.4545 (3.3259)]
[0m 29s (474 59%) 3.4536 (3.0630)]
[0m 29s (475 59%) 3.4521 (2.7492)]
[0m 29s (477 59%) 3.4519 (3.0814)]
[0m 30s (480 60%) 3.4541 (3.9664)]
[0m 30s (485 60%) 3.4510 (2.9530)]
[0m 30s (486 60%) 3.4503 (3.1213)]
[0m 30s (487 60%) 3.4497 (3.1577)]
[0m 30s (488 61%) 3.4502 (3.7104)]
[0m 30s (489 61%) 3.4495 (3.1155)]
[0m 30s (492 61%) 3.4483 (2.6813)]
[0m 30s (493 61%) 3.4469 (2.7845)]
[0m 31s (494 61%) 3.4459 (2.9266)]
[0m 31s (495 61%) 3.4452 (3.1336)]
[0m 31s (496 62%) 3.4447 (3.1793)]
[0m 31s (496 62%) 3.4447 (3.1793)]
[0m 31s (497 62%) 3.4446 (3.4016)]
[0m 31s (498 62%) 3.4439 (3.1109)]
