Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p3a293zp because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
not come.
Had 
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (105 35%) 3.2592 (2.3549)]
[0m 0s (105 35%) 3.2592 (2.3549)]
[0m 0s (107 35%) 3.2485 (2.0631)]
[0m 0s (108 36%) 3.2425 (2.5996)]
[0m 0s (108 36%) 3.2425 (2.5996)]
[0m 0s (111 37%) 3.2449 (2.2804)]
[0m 0s (114 38%) 3.2487 (3.0194)]
[0m 0s (117 39%) 3.2481 (2.3699)]
[0m 0s (119 39%) 3.2419 (2.5294)]
[0m 0s (120 40%) 3.2421 (3.2640)]
[0m 0s (121 40%) 3.2355 (2.4432)]
[0m 0s (122 40%) 3.2349 (3.1703)]
[0m 0s (123 41%) 3.2393 (3.7715)]
[0m 0s (126 42%) 3.2388 (3.5294)]
[0m 0s (128 42%) 3.2335 (2.9714)]
[0m 0s (129 43%) 3.2291 (2.6686)]
[0m 0s (129 43%) 3.2291 (2.6686)]
[0m 0s (130 43%) 3.2266 (2.9000)]
[0m 0s (131 43%) 3.2246 (2.9668)]
[0m 0s (132 44%) 3.2228 (2.9801)]
[0m 0s (132 44%) 3.2228 (2.9801)]
[0m 0s (133 44%) 3.2193 (2.7676)]
[0m 0s (134 44%) 3.2129 (2.3602)]
[0m 0s (135 45%) 3.2086 (2.6317)]
[0m 0s (135 45%) 3.2086 (2.6317)]
[0m 0s (136 45%) 3.2039 (2.5654)]
[0m 0s (138 46%) 3.1966 (2.1159)]
[0m 0s (138 46%) 3.1966 (2.1159)]
[0m 0s (139 46%) 3.1917 (2.5093)]
[0m 0s (141 47%) 3.1938 (2.5860)]
[0m 0s (142 47%) 3.1890 (2.5068)]
[0m 0s (143 47%) 3.1850 (2.6225)]
[0m 0s (144 48%) 3.1833 (2.9381)]
[0m 0s (144 48%) 3.1833 (2.9381)]
[0m 0s (147 49%) 3.1778 (2.3124)]
[0m 0s (147 49%) 3.1778 (2.3124)]
[0m 0s (148 49%) 3.1756 (2.8546)]
[0m 0s (149 49%) 3.1697 (2.2958)]
[0m 0s (150 50%) 3.1661 (2.6322)]
[0m 0s (150 50%) 3.1661 (2.6322)]
[0m 0s (151 50%) 3.1647 (2.9538)]
[0m 0s (152 50%) 3.1611 (2.6219)]
[0m 0s (153 51%) 3.1544 (2.1311)]
[0m 0s (153 51%) 3.1544 (2.1311)]
[0m 0s (154 51%) 3.1475 (2.0983)]
[0m 0s (156 52%) 3.1508 (3.2292)]
[0m 0s (157 52%) 3.1468 (2.5145)]
[0m 0s (158 52%) 3.1427 (2.4952)]
[0m 0s (159 53%) 3.1423 (3.0914)]
[0m 0s (159 53%) 3.1423 (3.0914)]
[0m 0s (161 53%) 3.1375 (2.0483)]
[0m 0s (162 54%) 3.1378 (3.1940)]
[0m 0s (163 54%) 3.1332 (2.3853)]
[0m 0s (164 54%) 3.1321 (2.9441)]
[0m 0s (165 55%) 3.1269 (2.2839)]
[0m 0s (165 55%) 3.1269 (2.2839)]
[0m 0s (166 55%) 3.1223 (2.3567)]
[0m 0s (167 55%) 3.1161 (2.0847)]
[0m 0s (168 56%) 3.1150 (2.9297)]
[0m 0s (168 56%) 3.1150 (2.9297)]
[0m 0s (170 56%) 3.1109 (2.2891)]
[0m 0s (171 56%) 3.1122 (3.3226)]
[0m 1s (172 57%) 3.1107 (2.8547)]
[0m 1s (173 57%) 3.1058 (2.2637)]
[0m 1s (174 57%) 3.1022 (2.4799)]
[0m 1s (174 57%) 3.1022 (2.4799)]
[0m 1s (175 58%) 3.1010 (2.8906)]
[0m 1s (176 58%) 3.0953 (2.1071)]
[0m 1s (177 59%) 3.0926 (2.6066)]
[0m 1s (177 59%) 3.0926 (2.6066)]
[0m 1s (178 59%) 3.0925 (3.0859)]
[0m 1s (179 59%) 3.0911 (2.8399)]
[0m 1s (180 60%) 3.0875 (2.4454)]
[0m 1s (180 60%) 3.0875 (2.4454)]
[0m 1s (183 61%) 3.0906 (2.8224)]
[0m 1s (185 61%) 3.0823 (1.9665)]
[0m 1s (186 62%) 3.0827 (3.1537)]
[0m 1s (187 62%) 3.0822 (2.9796)]
[0m 1s (188 62%) 3.0812 (2.8911)]
[0m 1s (189 63%) 3.0777 (2.4296)]
[0m 1s (189 63%) 3.0777 (2.4296)]
[0m 1s (190 63%) 3.0769 (2.9283)]
[0m 1s (191 63%) 3.0759 (2.8841)]
[0m 1s (192 64%) 3.0724 (2.4113)]
[0m 1s (192 64%) 3.0724 (2.4113)]
[0m 1s (195 65%) 3.0738 (2.6391)]
[0m 1s (196 65%) 3.0701 (2.3533)]
[0m 1s (198 66%) 3.0704 (2.7312)]
[0m 1s (199 66%) 3.0697 (2.9218)]
[0m 1s (200 66%) 3.0684 (2.8198)]
[0m 1s (201 67%) 3.0642 (2.2280)]
[0m 1s (201 67%) 3.0642 (2.2280)]
[0m 1s (202 67%) 3.0634 (2.8858)]
[0m 1s (203 67%) 3.0590 (2.1715)]
[0m 1s (204 68%) 3.0595 (3.1645)]
[0m 1s (205 68%) 3.0555 (2.2432)]
[0m 1s (206 68%) 3.0537 (2.6809)]
[0m 1s (207 69%) 3.0495 (2.1939)]
[0m 1s (207 69%) 3.0495 (2.1939)]
[0m 1s (210 70%) 3.0582 (3.0095)]
[0m 1s (213 71%) 3.0565 (3.4290)]
[0m 1s (216 72%) 3.0505 (2.7575)]
[0m 1s (217 72%) 3.0490 (2.7367)]
[0m 1s (218 72%) 3.0462 (2.4257)]
[0m 1s (219 73%) 3.0443 (2.6304)]
[0m 1s (219 73%) 3.0443 (2.6304)]
[0m 1s (220 73%) 3.0426 (2.6727)]
[0m 1s (222 74%) 3.0417 (2.7435)]
[0m 1s (222 74%) 3.0417 (2.7435)]
[0m 1s (223 74%) 3.0410 (2.8771)]
[0m 1s (224 74%) 3.0382 (2.4146)]
[0m 1s (225 75%) 3.0372 (2.8098)]
[0m 1s (225 75%) 3.0372 (2.8098)]
[0m 1s (226 75%) 3.0354 (2.6312)]
[0m 1s (227 75%) 3.0344 (2.8126)]
[0m 1s (228 76%) 3.0339 (2.9276)]
[0m 1s (228 76%) 3.0339 (2.9276)]
[0m 1s (229 76%) 3.0317 (2.5284)]
[0m 1s (231 77%) 3.0288 (2.1331)]
[0m 1s (231 77%) 3.0288 (2.1331)]
[0m 1s (232 77%) 3.0278 (2.8094)]
[0m 1s (233 77%) 3.0252 (2.4073)]
[0m 1s (234 78%) 3.0230 (2.5159)]
[0m 1s (234 78%) 3.0230 (2.5159)]
[0m 1s (235 78%) 3.0183 (1.9265)]
[0m 1s (236 78%) 3.0161 (2.4816)]
[0m 1s (237 79%) 3.0143 (2.5870)]
[0m 1s (237 79%) 3.0143 (2.5870)]
[0m 1s (238 79%) 3.0131 (2.7304)]
[0m 1s (239 79%) 3.0114 (2.6172)]
[0m 1s (240 80%) 3.0089 (2.4057)]
[0m 1s (240 80%) 3.0089 (2.4057)]
[0m 1s (241 80%) 3.0058 (2.2620)]
[0m 1s (242 80%) 3.0044 (2.6639)]
[0m 1s (243 81%) 3.0061 (3.4355)]
[0m 1s (246 82%) 3.0043 (2.8336)]
[0m 1s (246 82%) 3.0043 (2.8336)]
[0m 1s (247 82%) 3.0020 (2.4421)]
[0m 1s (248 82%) 3.0010 (2.7437)]
[0m 1s (249 83%) 2.9976 (2.1618)]
[0m 1s (249 83%) 2.9976 (2.1618)]
[0m 1s (252 84%) 2.9971 (2.4666)]
[0m 1s (252 84%) 2.9971 (2.4666)]
[0m 1s (254 84%) 2.9971 (2.7052)]
[0m 1s (255 85%) 2.9987 (3.4026)]
[0m 1s (258 86%) 3.0003 (3.5726)]
[0m 1s (260 86%) 2.9970 (2.8975)]
[0m 1s (261 87%) 2.9999 (3.7585)]
[0m 1s (264 88%) 2.9956 (2.0880)]
[0m 1s (264 88%) 2.9956 (2.0880)]
[0m 1s (267 89%) 2.9974 (2.5627)]
[0m 1s (268 89%) 2.9954 (2.4470)]
[0m 1s (269 89%) 2.9946 (2.7781)]
[0m 1s (270 90%) 2.9976 (3.8013)]
[0m 1s (273 91%) 2.9962 (3.1758)]
[0m 1s (275 91%) 2.9936 (2.4139)]
[0m 1s (276 92%) 2.9902 (2.0777)]
[0m 1s (276 92%) 2.9902 (2.0777)]
[0m 1s (279 93%) 2.9898 (2.8270)]
[0m 1s (279 93%) 2.9898 (2.8270)]
[0m 1s (280 93%) 2.9888 (2.7098)]
[0m 1s (281 93%) 2.9876 (2.6706)]
[0m 1s (282 94%) 2.9871 (2.8221)]
[0m 1s (282 94%) 2.9871 (2.8221)]
[0m 1s (283 94%) 2.9847 (2.3167)]
[0m 1s (284 94%) 2.9811 (1.9597)]
[0m 1s (285 95%) 2.9788 (2.3373)]
[0m 1s (285 95%) 2.9788 (2.3373)]
[0m 1s (286 95%) 2.9754 (1.9928)]
[0m 1s (287 95%) 2.9723 (2.0984)]
[0m 1s (288 96%) 2.9696 (2.2019)]
[0m 1s (288 96%) 2.9696 (2.2019)]
[0m 1s (289 96%) 2.9687 (2.6934)]
[0m 1s (290 96%) 2.9686 (2.9290)]
[0m 1s (291 97%) 2.9677 (2.7282)]
[0m 1s (291 97%) 2.9677 (2.7282)]
[0m 1s (292 97%) 2.9663 (2.5421)]
[0m 1s (293 97%) 2.9644 (2.4253)]
[0m 1s (294 98%) 2.9646 (3.0189)]
[0m 1s (296 98%) 2.9627 (1.9585)]
[0m 1s (297 99%) 2.9613 (2.5457)]
[0m 1s (297 99%) 2.9613 (2.5457)]
[0m 1s (298 99%) 2.9597 (2.4734)]
[0m 1s (300 100%) 2.9634 (3.6518)]
